max_rh_93710,max_soil_temp_93710,min_wss_93720,date,Season,year,aqi,ozone,pm25,nox,pollutant
94,16.1,0.0,2017-04-16T00:00:00,0.25,2017,64,0.0589999966323376,16.2,0.013,ozone
87,16.1,0.0,2017-04-11T00:00:00,0.25,2017,85,0.0652999877929688,28.2,0.0208,pm25
96,16.1,0.0,2017-11-20T00:00:00,0.75,2017,97,0.0476999953389168,34.0,0.0471,pm25
98,16.1,0.0,2017-11-22T00:00:00,0.75,2017,134,0.0626999735832214,48.8,0.0827,pm25
93,16.1,0.0,2017-04-08T00:00:00,0.25,2017,54,0.0499999970197678,13.3,0.0091,pm25
91,16.1,0.0,2017-04-15T00:00:00,0.25,2017,70,0.0608000010251999,12.1,0.0292,ozone
76,18.1,0.0,2017-10-04T00:00:00,0.75,2017,72,0.0581000037491322,22.0,0.0492,pm25
96,18.1,0.0,2017-11-01T00:00:00,0.75,2017,87,0.0541000030934811,29.0,0.0325,pm25
77,18.1,0.0,2017-10-09T00:00:00,0.75,2017,92,0.0533000007271767,31.5,0.0309,pm25
95,18.1,0.0,2017-11-04T00:00:00,0.75,2017,61,0.0389999970793724,17.0,0.017,pm25
95,18.1,0.0,2017-10-24T00:00:00,0.75,2017,126,0.0780999660491943,30.4,0.0554,ozone
85,19.1,1.5,2017-05-27T00:00:00,0.25,2017,57,0.0558000020682812,14.8,0.0091,pm25
78,19.1,0.0,2017-09-27T00:00:00,0.75,2017,113,0.0742999911308289,17.2,0.0407,ozone
71,19.1,0.0,2017-05-22T00:00:00,0.25,2017,118,0.0758999586105347,21.9,0.0288,ozone
47,20.1,2.1,2017-06-04T00:00:00,0.25,2017,92,0.0673999786376953,10.9,0.0073,ozone
71,21.1,3.1,2017-05-05T00:00:00,0.25,2017,53,0.0423000007867813,13.1,0.0374,pm25
94,21.1,1.5,2017-09-21T00:00:00,1.0,2017,46,0.0428000018000603,11.0,0.012,pm25
85,21.1,0.0,2017-05-04T00:00:00,0.25,2017,148,0.0844999551773071,28.1,0.048,ozone
85,25.1,1.5,2017-08-15T00:00:00,1.0,2017,71,0.0476999953389168,21.6,0.0076,pm25
66,25.1,0.0,2017-07-11T00:00:00,1.0,2017,124,0.0776999592781067,22.9,0.017,ozone
73,25.1,0.0,2017-07-10T00:00:00,1.0,2017,201,0.0883999466896057,31.2,0.0194,ozone
52,25.1,0.0,2017-07-09T00:00:00,1.0,2017,112,0.0741999745368958,18.9,0.013,ozone
56,26.1,0.0,2017-08-07T00:00:00,1.0,2017,95,0.068399965763092,20.4,0.0109,ozone
73,27.1,0.0,2017-09-01T00:00:00,1.0,2017,201,0.0922999978065491,31.3,0.0259,ozone
68,27.1,0.0,2017-08-31T00:00:00,1.0,2017,200,0.0983999371528625,30.4,0.0279,ozone
90,6.9,0.0,2017-12-19T00:00:00,0.75,2017,109,0.0366999953985214,38.7,0.1263,pm25
90,7.4,0.0,2017-12-18T00:00:00,0.75,2017,99,0.0339999981224537,35.0,0.0958999,pm25
94,8.8,0.0,2017-12-08T00:00:00,0.75,2017,138,0.0393999926745892,50.6,0.0919,pm25
98,9.3,0.0,2017-12-28T00:00:00,0.0,2017,160,0.0463999919593334,72.4,0.0943,pm25
97,10.3,0.0,2017-01-28T00:00:00,0.0,2017,94,0.0406999960541725,32.7,0.0951999,pm25
98,10.8,0.0,2017-01-31T00:00:00,0.0,2017,127,0.045499999076128,46.1,0.1027,pm25
96,11.3,1.5,2017-01-21T00:00:00,0.0,2017,50,0.0423999913036823,11.9,0.0149,pm25
97,11.3,0.0,2017-01-24T00:00:00,0.0,2017,65,0.0416000038385391,18.8,0.0588,pm25
98,11.3,0.0,2017-01-17T00:00:00,0.0,2017,106,0.0196999944746494,37.6,0.0929,pm25
97,11.8,0.0,2017-01-14T00:00:00,0.0,2017,66,0.0266999937593937,19.2,0.0175,pm25
96,12.3,0.0,2017-03-01T00:00:00,0.0,2017,60,0.0468000024557114,16.6,0.0734,pm25
93,12.3,0.0,2017-03-07T00:00:00,0.0,2017,59,0.0514999963343143,15.8,0.0249,pm25
96,12.8,0.0,2017-01-08T00:00:00,0.0,2017,48,0.0234999991953373,11.6,0.0095,pm25
96,12.8,0.0,2017-01-12T00:00:00,0.0,2017,55,0.0361999943852425,13.9,0.0342,pm25
96,13.3,0.0,2017-03-09T00:00:00,0.0,2017,74,0.0613000020384789,23.1,0.0425,pm25
97,13.3,0.0,2017-02-12T00:00:00,0.0,2017,62,0.037600003182888,17.5,0.037,pm25
97,13.8,0.0,2017-03-10T00:00:00,0.0,2017,86,0.0501999966800213,28.9,0.0337,pm25
96,13.8,0.0,2017-02-09T00:00:00,0.0,2017,59,0.0106999985873699,16.0,0.0287,pm25
95,13.8,1.5,2017-02-08T00:00:00,0.0,2017,52,0.0233999937772751,12.5,0.0127,pm25
99,14.3,0.0,2017-03-11T00:00:00,0.0,2017,102,0.0591999962925911,35.9,0.0305,pm25
